match_created_utc,user_deck,oppo_deck,result_vs_oppo
2026-06-27T15:23:09+00:00,Dimir Doomsday,Mono-Black Stompy,2-1
2026-06-27T15:36:02+00:00,Mono-White Stompy,Mardu Energy,2-0
2026-06-27T15:15:58+00:00,Mono-Red Ruby Storm,Dimir Reanimator,0-2
2026-06-27T15:12:10+00:00,Rakdos Burn,Sultai Raph Reanimator,0-2
2026-06-27T15:25:48+00:00,Dimir Tempo,Mono-Black Stompy,2-0
2026-06-27T15:38:16+00:00,Mono-White Stompy,Esper Tempo,2-1
2026-06-27T15:18:34+00:00,Sultai Raph Reanimator,Mono-Red Ruby Storm,2-0
2026-06-27T15:26:01+00:00,Mono-Black Stompy,Shredder Aggro ,0-2
2026-06-27T15:17:23+00:00,Rakdos Belcher,Grixis Tempo,0-2
2026-06-27T15:15:30+00:00,Izzet Sneak and Show,Dimir Reanimator,0-2
2026-06-27T15:21:21+00:00,Dimir Tempo,Mono-Black Stompy,2-0
2026-06-27T16:14:37+00:00,Sultai Raph Reanimator,Dimir Doomsday,2-1
2026-06-27T16:31:15+00:00,Dimir Tempo,Mono-White Stompy,1-2
2026-06-27T16:26:39+00:00,Mono-White Stompy,Dimir Doomsday,1-2
2026-06-27T16:11:31+00:00,Grixis Tempo,Dimir Reanimator,2-0
2026-06-27T16:16:56+00:00,Dimir Tempo,Shredder Aggro ,2-1
2026-06-27T16:12:44+00:00,Sultai Raph Reanimator,Dimir Reanimator,2-1
2026-06-27T16:25:57+00:00,Mono-Black Stompy,Rakdos Burn,0-2
2026-06-27T16:17:56+00:00,Mardu Energy,Mono-Black Stompy,2-1
2026-06-27T16:07:56+00:00,Mono-Black Stompy,Rakdos Belcher,0-2
2026-06-27T16:12:50+00:00,Mono-Red Ruby Storm,Mono-Red Ruby Storm,2-1
2026-06-27T16:12:48+00:00,Mono-Black Stompy,Izzet Sneak and Show,2-1
2026-06-27T17:00:53+00:00,Mono-White Stompy,Grixis Tempo,1-2
2026-06-27T16:57:46+00:00,Dimir Tempo,Dimir Doomsday,2-1
2026-06-27T16:55:36+00:00,Sultai Raph Reanimator,Sultai Raph Reanimator,0-2
2026-06-27T16:52:14+00:00,Rakdos Belcher,Mono-White Stompy,0-2
2026-06-27T16:47:16+00:00,Mono-Red Ruby Storm,Dimir Reanimator,0-2
2026-06-27T16:58:29+00:00,Dimir Tempo,Shredder Aggro ,1-2
2026-06-27T16:51:39+00:00,Dimir Doomsday,Dimir Reanimator,2-1
2026-06-27T16:44:25+00:00,Mardu Energy,Rakdos Burn,2-0
2026-06-27T16:56:42+00:00,Jeskai Oracle Control,Mono-Black Stompy,0-2
2026-06-27T17:09:32+00:00,Mono-Black Stompy,Mono-Black Stompy,1-2
2026-06-27T16:41:28+00:00,Mono-Red Ruby Storm,Mono-Black Stompy,0-2
2026-06-27T17:39:56+00:00,Grixis Tempo,Sultai Raph Reanimator,2-1
2026-06-27T17:45:32+00:00,Dimir Tempo,Mono-White Stompy,2-0
2026-06-27T17:29:48+00:00,Sultai Raph Reanimator,Mono-White Stompy,0-2
2026-06-27T17:30:53+00:00,Mardu Energy,Shredder Aggro ,2-1
2026-06-27T17:18:41+00:00,Dimir Reanimator,Mono-Black Stompy,0-2
2026-06-27T17:26:28+00:00,Dimir Doomsday,Dimir Doomsday,2-0
2026-06-27T17:23:33+00:00,Mono-Black Stompy,Mono-Red Ruby Storm,2-0
2026-06-27T17:47:09+00:00,Dimir Tempo,Jeskai Oracle Control,2-1
2026-06-27T17:19:49+00:00,Rakdos Burn,Rakdos Belcher,0-2
2026-06-27T17:42:08+00:00,Mono-Black Stompy,Mono-Black Stompy,1-2
2026-06-27T18:15:42+00:00,Grixis Tempo,Dimir Tempo,1-2
2026-06-27T18:08:28+00:00,Dimir Doomsday,Sultai Raph Reanimator,1-2
2026-06-27T18:12:40+00:00,Mono-White Stompy,Mono-Black Stompy,0-2
2026-06-27T18:10:19+00:00,Mardu Energy,Dimir Doomsday,2-1
2026-06-27T18:13:45+00:00,Mono-White Stompy,Shredder Aggro ,0-2
2026-06-27T18:12:38+00:00,Dimir Reanimator,Rakdos Belcher,1-2
2026-06-27T18:16:24+00:00,Sultai Raph Reanimator,Mono-Black Stompy,2-1
2026-06-27T18:12:10+00:00,Dimir Tempo,Rakdos Burn,1-2
2026-06-27T18:06:25+00:00,Jeskai Oracle Control,Mono-Black Stompy,2-0
2026-06-27T18:37:35+00:00,Dimir Tempo,Mono-White Stompy,2-0
2026-06-27T18:41:59+00:00,Mono-Black Stompy,Mardu Energy,0-2
2026-06-27T18:43:27+00:00,Grixis Tempo,Shredder Aggro ,1-2
2026-06-27T18:35:21+00:00,Sultai Raph Reanimator,Dimir Doomsday,2-0
2026-06-27T19:12:55+00:00,Dimir Tempo,Mardu Energy,0-2
2026-06-27T19:04:51+00:00,Shredder Aggro ,Sultai Raph Reanimator,2-1
2026-06-27T19:44:20+00:00,Mardu Energy,Shredder Aggro,2-1
