match_created_utc,user_deck,oppo_deck,result_vs_oppo
2026-04-26T17:34:04+00:00,Izzet Tempo,Azorius (Kaheera),2-0
2026-04-26T17:55:39+00:00,Esper Jace Valki,Mardu Energy,1-2
2026-04-26T17:45:34+00:00,Dimir Sorin Reanimator,Mardu Energy,1-2
2026-04-26T17:34:20+00:00,Mono-White Stompy,Izzet Tempo,0-2
2026-04-26T17:45:40+00:00,Rakdos Breach,Mardu Energy,2-1
2026-04-26T17:29:46+00:00,Boros Energy,Izzet Tempo,1-2
2026-04-26T17:27:09+00:00,Izzet Tempo,Boros Energy,1-2
2026-04-26T17:37:37+00:00,Boros Energy,Grixis Tempo,1-2
2026-04-26T17:29:57+00:00,Mardu Energy,Mono-Red Ruby Storm,1-2
2026-04-26T17:43:10+00:00,Azorius Tempo,Dimir Reanimator,2-1
2026-04-26T17:35:26+00:00,Izzet Tempo,The Epic Storm,2-1
2026-04-26T17:24:30+00:00,Rakdos Burn,Mono-Blue Charbelcher,2-0
2026-04-26T17:25:51+00:00,Dimir Reanimator,Dimir Reanimator,2-1
2026-04-26T17:36:18+00:00,Boros Energy,Boros Energy,2-0
2026-04-26T17:32:05+00:00,Mono-Red Ruby Storm,Izzet Tempo,0-2
2026-04-26T17:42:05+00:00,Ruby Storm,Gruul Goblin Foodchain,2-1
2026-04-26T17:50:11+00:00,Boros Energy,Rakdos Aggro,1-2
2026-04-26T17:35:47+00:00,Esper Tempo,Mono-Red Stompy,2-1
2026-04-26T17:36:48+00:00,Esper Tempo,Sultai Beans,2-0
2026-04-26T17:32:04+00:00,Esper Tempo,Dimir Reanimator,2-0
2026-04-26T18:01:55+00:00,Mono-Red Ruby Storm,Dimir Tempo,1-2
2026-04-26T17:28:14+00:00,Sultai Show and Tell,Dimir Sorin Reanimator,1-2
2026-04-26T17:36:32+00:00,Boros Energy,Izzet Obosh ,1-2
2026-04-26T18:27:02+00:00,Mardu Energy,Izzet Tempo,2-0
2026-04-26T18:25:57+00:00,Rakdos Burn,Mardu Energy,2-0
2026-04-26T18:16:08+00:00,Mardu Energy,Dimir Sorin Reanimator,2-0
2026-04-26T18:13:53+00:00,Boros Energy,Dimir Tempo,2-0
2026-04-26T18:48:21+00:00,Dimir Reanimator,Azorius Tempo,0-2
2026-04-26T18:18:19+00:00,Mono-Red Stompy,Izzet Tempo,0-2
2026-04-26T18:21:07+00:00,Izzet Tempo,Mono-Black Reanimator,2-0
2026-04-26T18:38:53+00:00,Mono-Red Ruby Storm,Izzet Tempo,2-1
2026-04-26T18:27:49+00:00,Izzet Tempo,Grixis Tempo,2-1
2026-04-26T18:51:28+00:00,Rakdos Breach,Esper Jace Valki,1-2
2026-04-26T18:11:44+00:00,Esper Tempo,Izzet Tempo,2-0
2026-04-26T18:23:11+00:00,Esper Tempo,Rakdos Burn,0-2
2026-04-26T18:40:46+00:00,Izzet Obosh ,Esper Tempo,1-2
2026-04-26T18:23:05+00:00,Mardu Energy,Boros Energy,1-2
2026-04-26T18:27:47+00:00,Mardu Energy,Rakdos Aggro,2-1
2026-04-26T18:35:31+00:00,Ruby Storm,Izzet Tempo,0-2
